endpoint_name,model_name,prompt_text,prompt_length,prompt_complexity,prompt_category,success,error_message,total_latency,time_to_first_token,input_tokens,output_tokens,total_tokens,tokens_per_second,time_per_output_token,avg_inter_token_latency,min_inter_token_latency,max_inter_token_latency,p50_inter_token_latency,p95_inter_token_latency,p99_inter_token_latency,response_text,timestamp,iteration,concurrent_level
qwen-ollama,qwen2.5:7b-instruct-fp16,What is the capital of France?,short,simple,factual_qa,True,,9.445632219314575,9.249109029769897,7,7,14,0.7410832686970695,1.3493760313306535,0.02822454770406087,0.026627302169799805,0.034448862075805664,0.02701711654663086,0.034448862075805664,0.034448862075805664,The capital of France is Paris.,2025-11-29T12:39:47.841767,0,1
qwen-ollama,qwen2.5:7b-instruct-fp16,Write a haiku about the ocean.,short,simple,creative_writing,True,,0.7314741611480713,0.1992802619934082,7,19,26,25.974943489704287,0.038498640060424805,0.027911927964952257,0.02646636962890625,0.029668092727661133,0.028601646423339844,0.029668092727661133,0.029668092727661133,"Whispers of the deep,
Waves kiss the sandy shores,
Oceans breathe with life.",2025-11-29T12:39:48.573463,0,1
qwen-ollama,qwen2.5:7b-instruct-fp16,"Translate 'Hello, how are you?' to Spanish.",short,simple,translation,True,,2.3271243572235107,0.1913440227508545,10,76,86,32.65833205865952,0.0306200573318883,0.028098300298055014,0.026450634002685547,0.033367156982421875,0.028093814849853516,0.03009319305419922,0.033367156982421875,"Sure! ""Hello, how are you?"" translates to Spanish as ""Hola, ¿cómo estás?"" 

Note that the formal version would be ""Hola, ¿cómo estás?"" or ""Hola, ¿cómo está?"" if you're addressing a single person forma...",2025-11-29T12:39:50.900850,0,1
qwen-ollama,qwen2.5:7b-instruct-fp16,List three benefits of exercise.,short,simple,general_knowledge,True,,4.71269416809082,0.1923375129699707,8,162,170,34.375241469494405,0.02909070474130136,0.027906368978275274,0.026134729385375977,0.03197360038757324,0.02807760238647461,0.028887033462524414,0.031108617782592773,"Sure! Here are three key benefits of regular exercise:

1. **Improved Physical Health**: Regular physical activity helps maintain and improve cardiovascular health, strengthens muscles and bones, and ...",2025-11-29T12:39:55.613829,0,1
qwen-ollama,qwen2.5:7b-instruct-fp16,Explain the difference between machine learning and deep learning in simple terms.,short,moderate,technical_explanation,True,,14.389613151550293,0.19347381591796875,20,505,525,35.094758606876994,0.028494283468416422,0.028107867354438418,0.026376724243164062,0.03281044960021973,0.027926921844482422,0.02986454963684082,0.031867265701293945,"Certainly! Machine learning and deep learning are both subsets of artificial intelligence (AI), but they have some key differences:

### Machine Learning:
- **Definition**: Machine learning involves c...",2025-11-29T12:40:10.003778,0,1
qwen-ollama,qwen2.5:7b-instruct-fp16,Write a persuasive paragraph about why renewable energy is important.,short,moderate,persuasive_writing,True,,3.9017181396484375,0.19747614860534668,17,132,149,33.831249535594026,0.029558470754912407,0.028067861804525363,0.025908708572387695,0.033883094787597656,0.027599334716796875,0.02986454963684082,0.031922340393066406,Renewable energy is crucial for our sustainable future because it offers an environmentally friendly alternative to fossil fuels that deplete natural resources and contribute significantly to climate ...,2025-11-29T12:40:13.905760,0,1
qwen-ollama,qwen2.5:7b-instruct-fp16,"Summarize the following text in 2-3 sentences:
            
The Internet of Things (IoT) refers to t...",medium,simple,summarization,True,,1.8174691200256348,0.19801020622253418,111,57,168,31.362293516819715,0.03188542315834447,0.028375042336327688,0.026623964309692383,0.03261876106262207,0.02761387825012207,0.030460596084594727,0.03261876106262207,"The Internet of Things (IoT) encompasses billions of physical devices worldwide that connect to the internet, sharing data, including both everyday items like household appliances and advanced industr...",2025-11-29T12:40:15.723478,0,1
qwen-ollama,qwen2.5:7b-instruct-fp16,"Given the following ingredients, suggest a simple recipe: chicken breast, bell peppers, onions, garl...",medium,simple,instruction_following,True,,13.704404830932617,0.19199538230895996,38,476,514,34.73335806058548,0.02879076645153911,0.028386213904932924,0.017501115798950195,0.04288959503173828,0.027749300003051758,0.030318021774291992,0.033072471618652344,"Certainly! Here's a simple and delicious recipe for Chicken Breast with Bell Peppers and Onions that you can prepare using the ingredients you have:

### Chicken Breast with Bell Peppers and Onions

#...",2025-11-29T12:40:29.428226,0,1
qwen-ollama,qwen2.5:7b-instruct-fp16,Analyze the pros and cons of remote work for both employees and employers. Consider at least 3 point...,medium,moderate,analysis,True,,19.711127042770386,0.20338773727416992,30,696,726,35.31000528228434,0.028320584831566645,0.02802938077089598,0.025833606719970703,0.033608198165893555,0.027535676956176758,0.03012561798095703,0.03195834159851074,Certainly! Remote work has become increasingly popular in recent years due to advancements in technology and changes brought about by events like the global pandemic. Below is an analysis of the pros ...,2025-11-29T12:40:49.139872,0,1
qwen-ollama,qwen2.5:7b-instruct-fp16,Write a function in Python that takes a list of integers and returns the second largest number. Incl...,medium,moderate,coding,True,,15.894619703292847,0.19567179679870605,45,555,600,34.917475872985,0.02863895442034747,0.028286618015826395,0.022087574005126953,0.03454136848449707,0.02820420265197754,0.030140161514282227,0.03200340270996094,Certainly! Below is a Python function that takes a list of integers and returns the second largest number. The function includes error handling to manage edge cases such as an empty list or a list con...,2025-11-29T12:41:05.034902,0,1
