endpoint_name,model_name,prompt_text,prompt_length,prompt_complexity,prompt_category,success,error_message,total_latency,time_to_first_token,input_tokens,output_tokens,total_tokens,tokens_per_second,time_per_output_token,avg_inter_token_latency,min_inter_token_latency,max_inter_token_latency,p50_inter_token_latency,p95_inter_token_latency,p99_inter_token_latency,response_text,timestamp,iteration,concurrent_level
qwen-vllm,Qwen/Qwen2.5-7B-Instruct,What is the capital of France?,short,simple,factual_qa,True,,0.28922104835510254,0.07058238983154297,7,7,14,24.202941106158615,0.041317292622157505,0.0311046044031779,0.030682802200317383,0.031350135803222656,0.031186819076538086,0.031350135803222656,0.031350135803222656,The capital of France is Paris.,2025-11-09T17:51:01.821891,0,1
qwen-vllm,Qwen/Qwen2.5-7B-Instruct,Write a haiku about the ocean.,short,simple,creative_writing,True,,0.6477775573730469,0.05765366554260254,7,19,26,29.331056291995218,0.03409355565121299,0.030964665942721896,0.02669548988342285,0.03464961051940918,0.031071901321411133,0.03464961051940918,0.03464961051940918,"Whispers of the deep,
Waves kiss the sandy shores,
Ocean's gentle song.",2025-11-09T17:51:02.469707,0,1
qwen-vllm,Qwen/Qwen2.5-7B-Instruct,"Translate 'Hello, how are you?' to Spanish.",short,simple,translation,True,,2.3231775760650635,0.055895328521728516,10,73,83,31.42247960383875,0.031824350357055664,0.031032002634472318,0.02298593521118164,0.039129018783569336,0.03100752830505371,0.031591176986694336,0.039129018783569336,"Sure! ""Hello, how are you?"" translates to Spanish as ""Hola, ¿cómo estás?"" 

Note that the formal version would be ""Hola, ¿cómo estás?"" or ""Hola, ¿cómo está?"" if you're speaking to a single person, or ...",2025-11-09T17:51:04.792975,0,1
qwen-vllm,Qwen/Qwen2.5-7B-Instruct,List three benefits of exercise.,short,simple,general_knowledge,True,,5.1839635372161865,0.05973005294799805,8,165,173,31.828927579341308,0.03141796083161325,0.03104534817904961,0.024291515350341797,0.03805828094482422,0.0310361385345459,0.03168058395385742,0.03683805465698242,"Certainly! Here are three key benefits of regular exercise:

1. **Improved Physical Health**: Regular physical activity can help improve cardiovascular health, strengthen muscles and bones, and enhanc...",2025-11-09T17:51:09.977240,0,1
qwen-vllm,Qwen/Qwen2.5-7B-Instruct,Explain the difference between machine learning and deep learning in simple terms.,short,moderate,technical_explanation,True,,14.733963966369629,0.05916166305541992,20,472,492,32.03482790356642,0.031216025352478027,0.031087373725421363,0.020633459091186523,0.04147195816040039,0.031064987182617188,0.03182387351989746,0.03285527229309082,"Sure! Let's break down the differences between machine learning and deep learning in simple terms:

### Machine Learning
Machine learning is like teaching a computer to recognize patterns or make deci...",2025-11-09T17:51:24.711418,0,1
qwen-vllm,Qwen/Qwen2.5-7B-Instruct,Write a persuasive paragraph about why renewable energy is important.,short,moderate,persuasive_writing,True,,5.005335092544556,0.06009840965270996,17,159,176,31.766104978032427,0.03148009492166387,0.03109304965296878,0.022037744522094727,0.04021954536437988,0.031035423278808594,0.03278779983520508,0.037754058837890625,"Renewable energy is crucial for our sustainable future because it offers a clean and inexhaustible alternative to fossil fuels. By harnessing the power of the sun, wind, water, and geothermal sources,...",2025-11-09T17:51:29.717051,0,1
qwen-vllm,Qwen/Qwen2.5-7B-Instruct,"Summarize the following text in 2-3 sentences:
            
The Internet of Things (IoT) refers to t...",medium,simple,summarization,True,,1.9605462551116943,0.05709409713745117,111,61,172,31.113777520400696,0.03214010254281466,0.03117591937383016,0.027642011642456055,0.03458666801452637,0.031232833862304688,0.03172469139099121,0.03458666801452637,"The Internet of Things (IoT) involves billions of physical devices worldwide that connect to the internet, collect, and share data, encompassing everything from home appliances to advanced industrial ...",2025-11-09T17:51:31.677842,0,1
qwen-vllm,Qwen/Qwen2.5-7B-Instruct,"Given the following ingredients, suggest a simple recipe: chicken breast, bell peppers, onions, garl...",medium,simple,instruction_following,True,,11.753975629806519,0.058901071548461914,38,376,414,31.989176415043264,0.031260573483527974,0.031101093928019206,0.02099442481994629,0.04144859313964844,0.031096696853637695,0.031905174255371094,0.034581661224365234,"Certainly! With the ingredients you have, you can make a quick and delicious Chicken and Bell Pepper Stir-Fry. Here’s how you can do it:

### Ingredients:
- 2 chicken breasts, sliced into thin strips
...",2025-11-09T17:51:43.432232,0,1
qwen-vllm,Qwen/Qwen2.5-7B-Instruct,Analyze the pros and cons of remote work for both employees and employers. Consider at least 3 point...,medium,moderate,analysis,True,,20.160542011260986,0.06149005889892578,30,646,676,32.04278930790485,0.03120826936727707,0.03110837455867797,0.02108025550842285,0.04179024696350098,0.031075000762939453,0.03197336196899414,0.03471875190734863,"Certainly! Remote work has become increasingly popular in recent years, driven by advancements in technology and changing workforce preferences. Here’s an analysis of the pros and cons from both the e...",2025-11-09T17:52:03.593240,0,1
qwen-vllm,Qwen/Qwen2.5-7B-Instruct,Write a function in Python that takes a list of integers and returns the second largest number. Incl...,medium,moderate,coding,True,,13.363709449768066,0.055085182189941406,45,428,473,32.0270357275261,0.031223620209738474,0.031091287487842997,0.017646312713623047,0.04453229904174805,0.03105759620666504,0.033550262451171875,0.04059004783630371,Certainly! Below is a Python function that takes a list of integers and returns the second largest number. It includes error handling for edge cases such as empty lists or lists with only one element....,2025-11-09T17:52:16.957337,0,1
