endpoint_name,model_name,prompt_text,prompt_length,prompt_complexity,prompt_category,success,error_message,total_latency,time_to_first_token,input_tokens,output_tokens,total_tokens,tokens_per_second,time_per_output_token,avg_inter_token_latency,min_inter_token_latency,max_inter_token_latency,p50_inter_token_latency,p95_inter_token_latency,p99_inter_token_latency,response_text,timestamp,iteration,concurrent_level
llama-ollama,llama3.1:8b-instruct-fp16,What is the capital of France?,short,simple,factual_qa,True,,0.4668891429901123,0.24116063117980957,7,7,14,14.992852382836936,0.06669844899858747,0.032834927241007485,0.02762603759765625,0.05341935157775879,0.029007911682128906,0.05341935157775879,0.05341935157775879,The capital of France is Paris.,2025-11-11T15:26:47.718494,0,1
llama-ollama,llama3.1:8b-instruct-fp16,Write a haiku about the ocean.,short,simple,creative_writing,True,,1.022601842880249,0.24229907989501953,7,27,34,26.403238159587215,0.03787414232889811,0.028935010616595928,0.027561426162719727,0.031093120574951172,0.028980493545532227,0.030679941177368164,0.031093120574951172,"Here is a haiku about the ocean:

Waves crash on the shore
Deep blue waters stretch afar
Peaceful, wild delight",2025-11-11T15:26:48.741360,0,1
llama-ollama,llama3.1:8b-instruct-fp16,"Translate 'Hello, how are you?' to Spanish.",short,simple,translation,True,,1.775414228439331,0.23410463333129883,10,53,63,29.852188380054486,0.03349838166866662,0.029056480297675498,0.02758955955505371,0.034703731536865234,0.028567075729370117,0.03304719924926758,0.034703731536865234,"The translation of ""Hello, how are you?"" in Spanish is:

""Hola, ¿cómo estás?""

(Note: If you want to say it more formally or politely, you can say ""Hola, ¿cómo se encuentra?"" or simply ""Hola"")",2025-11-11T15:26:50.517047,0,1
llama-ollama,llama3.1:8b-instruct-fp16,List three benefits of exercise.,short,simple,general_knowledge,True,,4.389375925064087,0.22891521453857422,8,143,151,32.57866321803188,0.030694936538909697,0.02905956792159819,0.027567625045776367,0.03380131721496582,0.028872966766357422,0.030400753021240234,0.03243613243103027,"Here are three benefits of regular exercise:

1. **Improves Physical Health**: Exercise helps to maintain a healthy weight, reduce the risk of chronic diseases such as heart disease, diabetes, and som...",2025-11-11T15:26:54.906695,0,1
llama-ollama,llama3.1:8b-instruct-fp16,Explain the difference between machine learning and deep learning in simple terms.,short,moderate,technical_explanation,True,,11.027436971664429,0.22692513465881348,20,372,392,33.73404000910396,0.029643647773291475,0.029035359380058842,0.024204254150390625,0.0366368293762207,0.028590679168701172,0.030844926834106445,0.03410816192626953,"**Machine Learning**

Imagine you're teaching a kid to recognize pictures of cats and dogs. You show them many examples, saying ""this is a cat"" or ""this is a dog."" The kid looks at each picture, tries...",2025-11-11T15:27:05.934443,0,1
llama-ollama,llama3.1:8b-instruct-fp16,Write a persuasive paragraph about why renewable energy is important.,short,moderate,persuasive_writing,True,,5.7511327266693115,0.2303483486175537,17,190,207,33.03697011180541,0.030269119614049007,0.029055923381179728,0.026951313018798828,0.03307008743286133,0.028739452362060547,0.030805587768554688,0.032755136489868164,"As the world grapples with the challenges of climate change, it's imperative that we prioritize the adoption of renewable energy sources to power our homes, businesses, and communities. Not only do re...",2025-11-11T15:27:11.685876,0,1
llama-ollama,llama3.1:8b-instruct-fp16,"Summarize the following text in 2-3 sentences:
            
The Internet of Things (IoT) refers to t...",medium,simple,summarization,True,,2.4614012241363525,0.25441431999206543,111,76,187,30.87672146042204,0.03238685821232043,0.029044504165649413,0.027886390686035156,0.03363466262817383,0.028477191925048828,0.030544042587280273,0.03363466262817383,"Here is a 2-3 sentence summary of the text:

The Internet of Things (IoT) refers to the vast network of physical devices connected to the internet, collecting and sharing data. These devices range fro...",2025-11-11T15:27:14.147537,0,1
llama-ollama,llama3.1:8b-instruct-fp16,"Given the following ingredients, suggest a simple recipe: chicken breast, bell peppers, onions, garl...",medium,simple,instruction_following,True,,14.005122184753418,0.21910715103149414,38,469,507,33.487747826332686,0.02986166777132925,0.029391495081094596,0.019010543823242188,0.039281368255615234,0.02906060218811035,0.031430721282958984,0.03346729278564453,"What a great combination of flavors! Here's a simple recipe that brings out the best in these ingredients:

**Grilled Chicken Fajitas**

 Servings: 2-3 people

**Ingredients:**

* 1-2 chicken breasts
...",2025-11-11T15:27:28.153005,0,1
llama-ollama,llama3.1:8b-instruct-fp16,Analyze the pros and cons of remote work for both employees and employers. Consider at least 3 point...,medium,moderate,analysis,True,,15.614470720291138,0.24073410034179688,30,525,555,33.622657431337586,0.029741848991030738,0.029281244933150197,0.011610269546508789,0.04720640182495117,0.028922080993652344,0.031124114990234375,0.03370332717895508,"Here's an analysis of the pros and cons of remote work for both employees and employers:

**Employees:**

Pros:

1. **Flexibility and autonomy**: Remote workers can create their own schedules, work fr...",2025-11-11T15:27:43.767844,0,1
llama-ollama,llama3.1:8b-instruct-fp16,Write a function in Python that takes a list of integers and returns the second largest number. Incl...,medium,moderate,coding,True,,12.655110359191895,0.24769949913024902,45,422,467,33.346212559378046,0.029988413173440507,0.029393316164718953,0.026867151260375977,0.0583498477935791,0.02895188331604004,0.0311276912689209,0.033087730407714844,"**Second Largest Number Function**
=====================================

Here is a Python function that finds the second largest number in a list of integers:

```python
def second_largest(numbers):
...",2025-11-11T15:27:56.423306,0,1
