endpoint_name,model_name,prompt_text,prompt_length,prompt_complexity,prompt_category,success,error_message,total_latency,time_to_first_token,input_tokens,output_tokens,total_tokens,tokens_per_second,time_per_output_token,avg_inter_token_latency,min_inter_token_latency,max_inter_token_latency,p50_inter_token_latency,p95_inter_token_latency,p99_inter_token_latency,response_text,timestamp,iteration,concurrent_level
qwen-ollama,qwen2.5:7b-instruct-fp16,What is the capital of France?,short,simple,factual_qa,True,,0.4025688171386719,0.1980421543121338,7,7,14,17.38833139077617,0.05750983101981027,0.029488166173299152,0.02897357940673828,0.030010700225830078,0.029849529266357422,0.030010700225830078,0.030010700225830078,The capital of France is Paris.,2025-11-11T21:48:10.708394,0,1
qwen-ollama,qwen2.5:7b-instruct-fp16,Write a haiku about the ocean.,short,simple,creative_writing,True,,0.70245361328125,0.20330381393432617,7,18,25,25.62446780780259,0.039025200737847224,0.027764039881089154,0.026647567749023438,0.030575990676879883,0.027884721755981445,0.030575990676879883,0.030575990676879883,"Whispers of the sea,
Waves caress the sandy shore,
Eternal embrace.",2025-11-11T21:48:11.411112,0,1
qwen-ollama,qwen2.5:7b-instruct-fp16,"Translate 'Hello, how are you?' to Spanish.",short,simple,translation,True,,0.826404333114624,0.19946885108947754,10,22,32,26.621351218095022,0.037563833323392,0.02847304798307873,0.026503324508666992,0.031469106674194336,0.028795480728149414,0.029741525650024414,0.031469106674194336,"Sure! ""Hello, how are you?"" translates to Spanish as ""Hola, ¿cómo estás?""",2025-11-11T21:48:12.237761,0,1
qwen-ollama,qwen2.5:7b-instruct-fp16,List three benefits of exercise.,short,simple,general_knowledge,True,,5.8659515380859375,0.20066475868225098,8,200,208,34.09506517424453,0.029329757690429687,0.02832933286925656,0.026537656784057617,0.03325176239013672,0.02803206443786621,0.030094385147094727,0.03320670127868652,"Here are three key benefits of regular exercise:

1. **Improved Physical Health**: Exercise helps maintain or enhance physical fitness and health. It can improve cardiovascular health, increase muscle...",2025-11-11T21:48:18.104004,0,1
qwen-ollama,qwen2.5:7b-instruct-fp16,Explain the difference between machine learning and deep learning in simple terms.,short,moderate,technical_explanation,True,,12.074010610580444,0.18588566780090332,20,420,440,34.785458912215496,0.02874764431090582,0.028299020981162715,0.020505189895629883,0.03320789337158203,0.028408050537109375,0.02977585792541504,0.0321805477142334,"Sure! Let's break down the differences between machine learning and deep learning in simple terms:

### Machine Learning

Imagine you have a box that can learn to sort apples and oranges based on how ...",2025-11-11T21:48:30.178387,0,1
qwen-ollama,qwen2.5:7b-instruct-fp16,Write a persuasive paragraph about why renewable energy is important.,short,moderate,persuasive_writing,True,,4.461615085601807,0.20804738998413086,17,151,168,33.84424633296942,0.029547119772197396,0.02815748691558838,0.022736072540283203,0.036186933517456055,0.02764582633972168,0.03036975860595703,0.03273367881774902,"Renewable energy is crucial for our sustainable future because it offers an environmentally friendly alternative to traditional fossil fuels. By harnessing the power of the sun, wind, water, and geoth...",2025-11-11T21:48:34.640323,0,1
qwen-ollama,qwen2.5:7b-instruct-fp16,"Summarize the following text in 2-3 sentences:
            
The Internet of Things (IoT) refers to t...",medium,simple,summarization,True,,1.910978078842163,0.21021413803100586,111,60,171,31.39753441669683,0.03184963464736938,0.028368715512550484,0.018635034561157227,0.036633968353271484,0.027880430221557617,0.03213667869567871,0.036633968353271484,"The Internet of Things (IoT) encompasses billions of physical devices worldwide that are connected to the internet, collecting and sharing data, including everything from household items to industrial...",2025-11-11T21:48:36.551578,0,1
qwen-ollama,qwen2.5:7b-instruct-fp16,"Given the following ingredients, suggest a simple recipe: chicken breast, bell peppers, onions, garl...",medium,simple,instruction_following,True,,14.28331446647644,0.19540691375732422,38,494,532,34.585809978449994,0.0289135920374017,0.02851568854604725,0.023991107940673828,0.0344843864440918,0.02811598777770996,0.030351877212524414,0.03299355506896973,"Certainly! With these ingredients, you can make a delicious and healthy Chicken Breast Stir-Fry with Bell Peppers and Onions. Here's how to prepare it:

### Ingredients:
- 2 chicken breasts (about 1 p...",2025-11-11T21:48:50.835284,0,1
qwen-ollama,qwen2.5:7b-instruct-fp16,Analyze the pros and cons of remote work for both employees and employers. Consider at least 3 point...,medium,moderate,analysis,True,,26.028587341308594,0.18966174125671387,30,913,943,35.07681719441708,0.028508857986099225,0.028299397021009212,0.018855810165405273,0.03553652763366699,0.02808523178100586,0.030397653579711914,0.0326077938079834,Certainly! Remote work has become increasingly popular in recent years due to advancements in technology and changing workplace dynamics. Here’s an analysis of the pros and cons from the perspectives ...,2025-11-11T21:49:16.864424,0,1
qwen-ollama,qwen2.5:7b-instruct-fp16,Write a function in Python that takes a list of integers and returns the second largest number. Incl...,medium,moderate,coding,True,,16.171695709228516,0.20667481422424316,45,567,612,35.061258274630816,0.02852150918735188,0.028154411501261033,0.020892858505249023,0.04250335693359375,0.02777099609375,0.030435800552368164,0.03279924392700195,"Certainly! Below is a Python function that takes a list of integers and returns the second largest number, with proper error handling for edge cases such as empty lists or lists containing fewer than ...",2025-11-11T21:49:33.036533,0,1
qwen-ollama,qwen2.5:7b-instruct-fp16,Explain the water cycle to a 10-year-old child. Use simple language and include at least three stage...,medium,moderate,educational_content,True,,8.33652639389038,0.19359946250915527,34,287,321,34.42680877377593,0.02904713029230098,0.028366741600570147,0.02271270751953125,0.03414273262023926,0.027973175048828125,0.02995014190673828,0.03329277038574219,"Sure! Imagine you have a big blue puddle in your backyard. This is like part of the water cycle, which is how water moves around our planet Earth.

1. **Evaporation**: The sun is like a giant hair dry...",2025-11-11T21:49:41.373396,0,1
