endpoint_name,model_name,prompt_text,prompt_length,prompt_complexity,prompt_category,success,error_message,total_latency,time_to_first_token,input_tokens,output_tokens,total_tokens,tokens_per_second,time_per_output_token,avg_inter_token_latency,min_inter_token_latency,max_inter_token_latency,p50_inter_token_latency,p95_inter_token_latency,p99_inter_token_latency,response_text,timestamp,iteration,concurrent_level
qwen-ollama,qwen2.5:7b-instruct-fp16,What is the capital of France?,short,simple,factual_qa,True,,583.5548615455627,583.3623127937317,7,7,14,0.011995444578184624,83.36498022079468,0.027460694313049316,0.026837587356567383,0.02851724624633789,0.027500629425048828,0.02851724624633789,0.02851724624633789,The capital of France is Paris.,2025-11-11T18:53:41.807773,0,50
qwen-ollama,qwen2.5:7b-instruct-fp16,Write a haiku about the ocean.,short,simple,creative_writing,True,,361.8728561401367,361.4084680080414,7,17,24,0.04697782580690905,21.28663859647863,0.02732686698436737,0.02665257453918457,0.029946327209472656,0.026983261108398438,0.029946327209472656,0.029946327209472656,"Whispers of the sea,
Waves kiss the sandy shores,
Eternal embrace.",2025-11-11T18:50:00.126142,0,50
qwen-ollama,qwen2.5:7b-instruct-fp16,"Translate 'Hello, how are you?' to Spanish.",short,simple,translation,True,,583.3238258361816,580.9303131103516,10,87,97,0.14914528799725854,6.7048715613354215,0.027510670728461688,0.02017068862915039,0.03429007530212402,0.02716994285583496,0.02975320816040039,0.03429007530212402,"Sure! ""Hello, how are you?"" in Spanish is ""Hola, ¿cómo estás?"" 

Note that the formal version would be ""Hola, ¿cómo estás?"" or ""Hola, ¿cómo está?"" depending on whether you're speaking to a singular ma...",2025-11-11T18:53:41.577249,0,50
qwen-ollama,qwen2.5:7b-instruct-fp16,List three benefits of exercise.,short,simple,general_knowledge,True,,435.90915036201477,429.32811284065247,8,233,241,0.5345150470149518,1.8708547225837544,0.028244133653311895,0.015887737274169922,0.03983879089355469,0.02778029441833496,0.031114816665649414,0.033922433853149414,"Certainly! Here are three key benefits of regular exercise:

1. **Improved Physical Health**: Regular physical activity can help improve your overall health and well-being. It strengthens the heart, r...",2025-11-11T18:51:14.162702,0,50
qwen-ollama,qwen2.5:7b-instruct-fp16,Explain the difference between machine learning and deep learning in simple terms.,short,moderate,technical_explanation,True,,392.7259750366211,380.55512046813965,20,434,454,1.1050962441675272,0.9048985599922145,0.02804167991972961,0.016213178634643555,0.03958940505981445,0.027686119079589844,0.029854536056518555,0.032212018966674805,"Sure! Let's break down the differences between machine learning and deep learning in simple terms:

### Machine Learning
Machine learning is like teaching a computer to make decisions or predictions b...",2025-11-11T18:50:30.979658,0,50
qwen-ollama,qwen2.5:7b-instruct-fp16,Write a persuasive paragraph about why renewable energy is important.,short,moderate,persuasive_writing,True,,41.43301820755005,36.84291124343872,17,162,179,3.9099251516868705,0.2557593716515435,0.028325988639215503,0.026145458221435547,0.03348135948181152,0.028284072875976562,0.030236005783081055,0.031018972396850586,"Renewable energy is crucial for the sustainable development of our planet and future generations. As humanity continues to face the pressing challenges of climate change, air pollution, and resource d...",2025-11-11T18:44:39.686714,0,50
qwen-ollama,qwen2.5:7b-instruct-fp16,"Summarize the following text in 2-3 sentences:
            
The Internet of Things (IoT) refers to t...",medium,simple,summarization,True,,318.41706466674805,316.6889383792877,111,61,172,0.1915726472255561,5.219951879782755,0.02833534081776937,0.026855945587158203,0.032928466796875,0.02773118019104004,0.03047490119934082,0.032928466796875,"The Internet of Things (IoT) encompasses a vast array of physical devices—from home appliances to advanced industrial tools—that are now connected to the internet, facilitating data collection and sha...",2025-11-11T18:49:16.670829,0,50
qwen-ollama,qwen2.5:7b-instruct-fp16,"Given the following ingredients, suggest a simple recipe: chicken breast, bell peppers, onions, garl...",medium,simple,instruction_following,True,,562.7068991661072,550.3533334732056,38,434,472,0.7712718657673436,1.2965596754979427,0.028462690789484813,0.008909940719604492,0.04954075813293457,0.027952909469604492,0.031500816345214844,0.036705970764160156,"Certainly! With those ingredients, you can make a delicious and healthy Chicken Stir-Fry with Bell Peppers and Onions. Here's a simple recipe to guide you through the process:

### Ingredients:
- 2 ch...",2025-11-11T18:53:20.960933,0,50
qwen-ollama,qwen2.5:7b-instruct-fp16,Analyze the pros and cons of remote work for both employees and employers. Consider at least 3 point...,medium,moderate,analysis,True,,641.9558343887329,625.6102027893066,30,580,610,0.9034889457033646,1.106820404118505,0.028178595096542015,0.01846766471862793,0.04025530815124512,0.02764892578125,0.0305325984954834,0.037662506103515625,"Certainly! Remote work has become increasingly prevalent in recent years due to technological advancements and shifts in workforce preferences, particularly following the widespread adoption of teleco...",2025-11-11T18:54:40.210070,0,50
qwen-ollama,qwen2.5:7b-instruct-fp16,Write a function in Python that takes a list of integers and returns the second largest number. Incl...,medium,moderate,coding,True,,421.1922929286957,405.2790937423706,45,569,614,1.3509269033475095,0.7402325007534195,0.02796496220037971,0.021209001541137695,0.03461766242980957,0.02750849723815918,0.029657602310180664,0.03176259994506836,"Certainly! Below is a Python function that takes a list of integers and returns the second largest number from it, including appropriate error handling for edge cases such as an empty list or a list w...",2025-11-11T18:50:59.446695,0,50
